Fecha;Activos
2024-11-24 00:00:00.000;3305
2024-11-25 00:00:00.000;3302
2024-11-26 00:00:00.000;3304
2024-11-27 00:00:00.000;3289
2024-11-28 00:00:00.000;3285
2024-11-29 00:00:00.000;3286
2024-12-01 00:00:00.000;3286
2024-12-02 00:00:00.000;3292
2024-12-03 00:00:00.000;3293
2024-12-04 00:00:00.000;3294
2024-12-05 00:00:00.000;3293
2024-12-06 00:00:00.000;3295
2024-12-08 00:00:00.000;3295
2024-12-09 00:00:00.000;3294
2024-12-10 00:00:00.000;3295
2024-12-11 00:00:00.000;3294
2024-12-12 00:00:00.000;3294
2024-12-13 00:00:00.000;3294
2024-12-15 00:00:00.000;3294
2024-12-16 00:00:00.000;3295
2024-12-17 00:00:00.000;3299
2024-12-18 00:00:00.000;3299
2024-12-19 00:00:00.000;3298
2024-12-20 00:00:00.000;3299
2024-12-22 00:00:00.000;3299
2024-12-23 00:00:00.000;3306
2024-12-24 00:00:00.000;3306
2024-12-25 00:00:00.000;3306
2024-12-26 00:00:00.000;3295
2024-12-27 00:00:00.000;3272
2024-12-29 00:00:00.000;3272
2024-12-30 00:00:00.000;3271
2024-12-31 00:00:00.000;3271
2025-01-01 00:00:00.000;3271
2025-01-02 00:00:00.000;3268
2025-01-03 00:00:00.000;3270
2025-01-05 00:00:00.000;3270
2025-01-06 00:00:00.000;3271
2025-01-07 00:00:00.000;3268
2025-01-08 00:00:00.000;3267
2025-01-09 00:00:00.000;3258
2025-01-10 00:00:00.000;3262
2025-01-12 00:00:00.000;3262
2025-01-13 00:00:00.000;3260
2025-01-14 00:00:00.000;3262
2025-01-15 00:00:00.000;3263
2025-01-16 00:00:00.000;3263
2025-01-17 00:00:00.000;3264
2025-01-19 00:00:00.000;3264
2025-01-20 00:00:00.000;3265
2025-01-21 00:00:00.000;3267
2025-01-22 00:00:00.000;3267
2025-01-23 00:00:00.000;3265
2025-01-24 00:00:00.000;3267
2025-01-26 00:00:00.000;3267
2025-01-27 00:00:00.000;3256
2025-01-28 00:00:00.000;3254
2025-01-29 00:00:00.000;3258
2025-01-30 00:00:00.000;3259
2025-01-31 00:00:00.000;3260
2025-02-02 00:00:00.000;3260
2025-02-03 00:00:00.000;3259
2025-02-04 00:00:00.000;3262
2025-02-05 00:00:00.000;3258
2025-02-06 00:00:00.000;3256
2025-02-07 00:00:00.000;3257
2025-02-09 00:00:00.000;3257
2025-02-10 00:00:00.000;3261
2025-02-11 00:00:00.000;3263
2025-02-12 00:00:00.000;3262
2025-02-13 00:00:00.000;3261
2025-02-14 00:00:00.000;3261
2025-02-16 00:00:00.000;3261
2025-02-17 00:00:00.000;3260
2025-02-18 00:00:00.000;3263
2025-02-19 00:00:00.000;3263
2025-02-20 00:00:00.000;3260
2025-02-21 00:00:00.000;3258
2025-02-23 00:00:00.000;3258
2025-02-24 00:00:00.000;3250
2025-02-25 00:00:00.000;3249
2025-02-26 00:00:00.000;3234
2025-02-27 00:00:00.000;3232
2025-02-28 00:00:00.000;3239
2025-03-02 00:00:00.000;3239
2025-03-03 00:00:00.000;3239
2025-03-04 00:00:00.000;3239
2025-03-05 00:00:00.000;3240
2025-03-06 00:00:00.000;3243
2025-03-07 00:00:00.000;3247
2025-03-09 00:00:00.000;3247
2025-03-10 00:00:00.000;3250
2025-03-11 00:00:00.000;3256
2025-03-12 00:00:00.000;3259
2025-03-13 00:00:00.000;3258
2025-03-14 00:00:00.000;3262
2025-03-16 00:00:00.000;3262
2025-03-17 00:00:00.000;3261
2025-03-18 00:00:00.000;3256
2025-03-19 00:00:00.000;3253
2025-03-20 00:00:00.000;3252
2025-03-21 00:00:00.000;3252
2025-03-23 00:00:00.000;3252
2025-03-24 00:00:00.000;3252
2025-03-25 00:00:00.000;3228
2025-03-26 00:00:00.000;3229
2025-03-27 00:00:00.000;3224
2025-03-28 00:00:00.000;3229
2025-03-30 00:00:00.000;3229
2025-03-31 00:00:00.000;3226
2025-04-01 00:00:00.000;3225
2025-04-02 00:00:00.000;3227
2025-04-03 00:00:00.000;3227
2025-04-04 00:00:00.000;3231
2025-04-06 00:00:00.000;3231
2025-04-07 00:00:00.000;3230
2025-04-08 00:00:00.000;3231
2025-04-09 00:00:00.000;3234
2025-04-10 00:00:00.000;3236
2025-04-11 00:00:00.000;3236
2025-04-13 00:00:00.000;3236
2025-04-14 00:00:00.000;3237
2025-04-15 00:00:00.000;3235
2025-04-16 00:00:00.000;3235
2025-04-17 00:00:00.000;3234
2025-04-18 00:00:00.000;3234
2025-04-20 00:00:00.000;3234
2025-04-21 00:00:00.000;3236
2025-04-22 00:00:00.000;3237
2025-04-23 00:00:00.000;3237
2025-04-24 00:00:00.000;3238
2025-04-25 00:00:00.000;3234
2025-04-27 00:00:00.000;3234
2025-04-28 00:00:00.000;3217
2025-04-29 00:00:00.000;3216
2025-04-30 00:00:00.000;3216
2025-05-01 00:00:00.000;3216
2025-05-02 00:00:00.000;3217
2025-05-04 00:00:00.000;3217
2025-05-05 00:00:00.000;3216
2025-05-06 00:00:00.000;3218
2025-05-07 00:00:00.000;3222
2025-05-08 00:00:00.000;3225
2025-05-09 00:00:00.000;3226
2025-05-11 00:00:00.000;3226
2025-05-12 00:00:00.000;3224
2025-05-13 00:00:00.000;3224
2025-05-14 00:00:00.000;3226
2025-05-15 00:00:00.000;3226
2025-05-16 00:00:00.000;3227
2025-05-18 00:00:00.000;3227
2025-05-19 00:00:00.000;3229
2025-05-20 00:00:00.000;3231
2025-05-21 00:00:00.000;3229
2025-05-22 00:00:00.000;3229
2025-05-23 00:00:00.000;3208
2025-05-25 00:00:00.000;3208
2025-05-26 00:00:00.000;3209
2025-05-27 00:00:00.000;3210
2025-05-28 00:00:00.000;3206
2025-05-29 00:00:00.000;3207
2025-05-30 00:00:00.000;3211
2025-06-01 00:00:00.000;3211
2025-06-02 00:00:00.000;3212
2025-06-03 00:00:00.000;3215
2025-06-04 00:00:00.000;3216
2025-06-05 00:00:00.000;3223
2025-06-06 00:00:00.000;3223
2025-06-08 00:00:00.000;3223
2025-06-09 00:00:00.000;3223
2025-06-10 00:00:00.000;3225
2025-06-11 00:00:00.000;3226
2025-06-12 00:00:00.000;3230
2025-06-13 00:00:00.000;3231
2025-06-15 00:00:00.000;3231
2025-06-16 00:00:00.000;3233
2025-06-17 00:00:00.000;3225
2025-06-18 00:00:00.000;3225
2025-06-19 00:00:00.000;3226
2025-06-20 00:00:00.000;3230
2025-06-22 00:00:00.000;3230
2025-06-23 00:00:00.000;3229
2025-06-24 00:00:00.000;3227
2025-06-25 00:00:00.000;3228
2025-06-26 00:00:00.000;3213
2025-06-27 00:00:00.000;3210
2025-06-29 00:00:00.000;3210
2025-06-30 00:00:00.000;3209
2025-07-01 00:00:00.000;3211
2025-07-02 00:00:00.000;3211
2025-07-03 00:00:00.000;3213
2025-07-04 00:00:00.000;3213
2025-07-06 00:00:00.000;3213
2025-07-07 00:00:00.000;3214
2025-07-08 00:00:00.000;3211
2025-07-09 00:00:00.000;3213
2025-07-10 00:00:00.000;3214
2025-07-11 00:00:00.000;3214
2025-07-13 00:00:00.000;3214
2025-07-14 00:00:00.000;3213
